Ime,Visina,Lokacija
Sveta Marjeta (Prežganje),658,"46,0248°N 14,7305°"
Dom Ušte - Žerenk,658,"46,1215°N 14,77218°"
Celjska koča,652,"46,1949°N 15,27481°"
Raskože (Bohor),650,"46,0671°N 15,5262°"
Vrhija,648,"46,1623°N 14,8897°"
GEOSS,645,"46,12031°N 14,81553°"
Zabreznik (Sv. Miklavž),644,"46,1628°N 14,9496°"
Sveti Lambert,643,"45,9908°N 14,8187°"
Sveti Duh (Polževo),630,"45,9224°N 14,7557°"
Veliki Bojanski vrh,627,"46,20226°N 15,30642°"
Žagarski vrh,627,"46,0294°N 14,6541°"
Kalanov hrib (Kalanček),626,"46,1522°N 14,9153°"
Pečovniška koča na Grmadi,620,"46,19764°N 15,27824°"
Pugled,615,"46,01052°N 14,63802°"
Bajturn (Zaplaški hrib),609,"45,9737°N 14,9473°"
Lomnik,609,
Veliki Slomnik,609,"46,20334°N 15,21194°"
Dragov dom na Homu,607,"46,21911°N 15,12562°"
Gradišče nad Ilovo Goro,601,"45,89175°N 14,74263°"
Mali Bojanski vrh,600,"46,20244°N 15,31099°"
Hotel Polževo,592,"45,9244°N 14,755°"
Semenič,590,"45,6487°N 15,1616°"
Dom na Bukovici,584,"46,22084°N 15,16644°"
Hum nad Laškim ,583,"46,1605°N 15,2396°"
Trebni vrh,581,"45,8935°N 15,003°"
Stari grad Kamnik,577,"46,2239°N 14,6169°"
Mehovski hrib,571,"45,73803°N 15,20388°"
Hom nad Celjem,570,"46,21956°N 15,22503°"
Grmadnik,569,"46,05423°N 14,64208°"
Rifnik,568,"46,19831°N 15,4068°"
Resje nad Štorami,567,"46,191°N 15,3426°"
Lisec (Liška gora),565,"45,8682°N 14,9533°"
Lovski dom na Vrhtrebnjem,562,"45,8942°N 15,0014°"
Španov vrh (Besnica),559,"46,05094°N 14,6482°"
Pri knapu pod Babo,552,"46,1614°N 15,15234°"
Smuk,545,"45,66124°N 15,17985°"
Zaplaz,543,"45,9731°N 14,9579°"
Gradiše (nad Štorami),540,"46,20164°N 15,31552°"
Kožljevec,533,"46,03404°N 14,90462°"
Vipota,532,"46,20357°N 15,25404°"
Debenji vrh,530,"46,05105°N 14,62963°"
Sveta Trojica (nad Dobom),527,"46,1232°N 14,6757°"
Svete gore,527,"46,04554°N 15,66112°"
Kamčič,525,"46,19702°N 15,1986°"
Sv. Peter (Olešče),525,"46,1535°N 15,2988°"
Ostri vrh (nad Globodolom),523,"45,8496°N 15,0249°"
Strešni vrh (Svibno),523,"46,0728°N 14,8331°"
Grad Turjak,522,"45,8769°N 14,6074°"
Sv. Križ (Retje),520,"46,1349°N 15,0555°"
Turn (Sv. Janez Krstnik),513,"46,2005°N 15,3313°"
Sveti Mohor na Mohorjevem hribu,511,"46,152°N 14,7325°"
Lavričeva koča na Gradišču,510,"45,96209°N 14,82234°"
Sveti Lenart (Kandrše),508,"46,1376°N 14,8416°"
Grad Višnja Gora (Stari grad),506,"45,9515°N 14,7438°"
Magdalenska gora,504,"45,97945°N 14,63506°"
Kapelica pri Mariji pod Srebotnikom,500,
Ajdovščina nad Ihanom,495,"46,1017°N 14,6387°"
Tabor Cerovo,493,"45,9185°N 14,6387°"
Sveti Mihael (Križate),491,"46,1433°N 14,8401°"
Rudniško jezero,490,"45,6481°N 14,8706°"
Špicberg,490,"46,1455°N 15,0322°"
Gradiški grič,485,"46,1686°N 14,7088°"
Grad Podsreda,475,"46,02805°N 15,58994°"
Oklo nad Ihanom,465,"46,1199°N 14,6534°"
Sveti Primož in Felicijan nad Semičem,465,"45,647°N 15,1639°"
Vzletišče Peter (Straška gora),464,"45,7774°N 15,0492°"
Orle,458,"46,015°N 14,5702°"
Planinski dom na Brnici,457,"46,22069°N 15,1992°"
Lazarjev vrh,452,"46,07144°N 14,64678°"
Mazovnik (Golovec),450,"46,02989°N 14,55531°"
Sitarjevec,448,"46,0523°N 14,826°"
Sveti Peter (Selo pri Mirni),445,"45,9786°N 15,0323°"
Murjevka,443,"46,06327°N 14,64083°"
Stari grad (Stari Osterberg),443,"46,06071°N 14,63422°"
Dom LD Dobrnič,440,"45,8465°N 15,0254°"
Črni hrib (Golovec),440,"46,03268°N 14,55045°"
Velika Radenska stena,439,"45,45816°N 15,1131°"
Luknje,438,"46,04248°N 14,53463°"
Gašperjeva koča pod Velikim Kozjem,436,"46,08918°N 15,20873°"
Županova jama,430,"45,91276°N 14,6394°"
Mala Radenska stena,428,"45,4622°N 15,10922°"
Sveta Marija (Trška Gora),428,"45,8436°N 15,1881°"
Sveti Križ (Liška gora),428,"45,868°N 14,9627°"
Veliki vrh (Križentaver),419,"46,1275°N 14,6222°"
Tinska gora,409,"46,1801°N 15,5525°"
Stari grad na Grajskem hribu,407,"46,21981°N 15,27139°"
Oljska gora,401,"46,0987°N 14,5722°"
Sv. Miklavž na Goropečah,401,"46,1172°N 14,6454°"
Stari grad (Volčji Potok),398,"46,18917°N 14,61314°"
Miklavžev hrib (Miklavški hrib),394,"46,2224°N 15,2609°"
Kamnolom mlinskih kamnov,390,"46,05983°N 14,63421°"
Hribce,388,"46,1293°N 14,7337°"
Stara sveta gora,386,"46,04326°N 15,59599°"
Sv. Kunigunda na Taboru nad Ihanom,377,"46,1245°N 14,6299°"
Miklavžev hrib (Razgledni stolp),376,
Sveta Neža (Liboje),368,"46,208°N 15,1905°"
Grad Kozje (Drachenburg),360,"46,07131°N 15,55392°"
Radenski kal,360,"45,47052°N 15,10412°"
Sv. Andrej nad Olimjem,351,"46,1475°N 15,5581°"
Dom Frata,345,"45,8265°N 15,035°"
Gradišče (pri Grižah),341,"46,2288°N 15,16601°"
Gradiško jezero,340,"46,1616°N 14,7103°"
Sveti Primož (Kremen),340,"45,969°N 15,5127°"
Lahomniški sopot,325,"46,1448°N 15,2964°"
Sv. Urban (Cmereška Gorca),322,"46,1833°N 15,5929°"
Gruska jama,320,"46,09253°N 15,57027°"
Sv. Lovrenc (Kompole),315,"46,2148°N 15,3366°"
Pusti Peter,311,"45,51111°N 15,15821°"
Herkulovo svetišče na Bregu,290,
Izvir Krke,272,"45,8897°N 14,7714°"
Stari grad nad Otočcem,250,"45,8441°N 15,2085°"
Jelovička in Mihova jama,240,"45,5197°N 14,9098°"
