Ime,Visina,Lokacija
Sveta Marija Magdalena (Gore),851,"46,0033°N 14,0545°"
Belovka,848,"45,76061°N 14,54092°"
Otliški maj,847,"45,92104°N 13,90796°"
Sveti Vid (Vidovska planota),846,"45,8506°N 14,4612°"
Pravi vrh,830,
Bivak Črna peč,830,"45,92262°N 13,83436°"
Podrta gora nad Ajdovščino,827,"45,89376°N 13,94779°"
Kurešček,826,"45,8853°N 14,55949°"
Koča na Vrhu Svetih Treh Kraljev,823,"46,0122°N 14,1731°"
Polšakova koča na Zagori,822,"45,86262°N 14,18226°"
Osojnica,820,"45,68659°N 14,16756°"
Ljubljanski vrh,819,"45,93098°N 14,29832°"
Lovska koča Trešnja ravan,818,"45,7395°N 14,269°"
Sveti Socerb (Artviže),817,"45,61528°N 14,03043°"
Goli vrh (Cemarovnik),816,"45,82713°N 14,3912°"
Medvedje Brdo,814,"45,9695°N 14,1356°"
Korada,812,"46,06493°N 13,56053°"
Globočak,809,"46,13007°N 13,65841°"
Mali Trebelnik,807,"45,90679°N 14,34942°"
Sveti Lenart (Krvava Peč),805,"45,86211°N 14,51171°"
Ajdovščina,804,"45,6242°N 13,9905°"
Lipnik,804,"45,48081°N 13,96538°"
Zavetišče na Koradi,803,"46,06565°N 13,55834°"
Kojnik,802,"45,50689°N 13,95176°"
Ulovka,801,"45,97571°N 14,23989°"
Otliško okno,800,"45,91647°N 13,9134°"
Slap Kotel,799,
Ahac,799,"45,56333°N 14,27763°"
Gradiška Tura,793,"45,82929°N 13,97975°"
Gradišče (Čepan),791,"45,6271°N 14,2189°"
Rakitna,789,"45,887°N 14,4317°"
Sveta Marija na Planinski gori,782,"45,8375°N 14,23367°"
Vrh,777,"45,617°N 14,2313°"
Lovska koča Vojkovo,775,"45,79634°N 14,01031°"
Trenk,769,"45,88666°N 14,48438°"
Ortneški Stari grad,765,"45,78263°N 14,67021°"
Pečna reber,763,"45,77868°N 14,23004°"
Planinski dom na Kureščku,760,"45,88798°N 14,56019°"
Razgledna točka Široko,755,"46,13207°N 13,75932°"
Sveti Primož in Felicijan (Osredek),751,"45,8645°N 14,4853°"
