Ime,Visina,Lokacija
Rožca,1587,"46,48071°N 14,01967°"
Bela peč,1583,"46,37761°N 14,37982°"
Koča na Golici,1582,"46,48592°N 14,06198°"
Planina Zgornja Dolga njiva,1580,"46,44029°N 14,43179°"
Planina Zgornja Konjščica,1578,"46,38048°N 14,37426°"
Sinski vrh / Sinacher Gupf ,1577,"46,49439°N 14,19209°"
Ojstra / Oistra,1577,"46,5099°N 14,6433°"
Planina Zgornja Luža,1573,"46,50415°N 14,72898°"
Vgrizeva planina / Ogrisalm,1569,"46,45645°N 14,19807°"
Veška planina / Wackendorfer Alm,1568,"46,5233°N 14,7243°"
Planina Korošica,1554,"46,43416°N 14,29156°"
Rekaršica,1554,"46,5163°N 13,77312°"
Kapelška koča / Eisenkappler Hütte,1553,"46,50176°N 14,51047°"
Petelinjek (nad Korenskim sedlom),1552,"46,5184°N 13,7337°"
Stara gora / Altberg,1552,"46,5248°N 14,5307°"
Špičasti vrh / Spitzberg,1551,"46,4734°N 14,6846°"
Ptičji vrh,1550,"46,48527°N 14,08835°"
Planina Javornik,1550,"46,37633°N 14,39668°"
Snežnik (nad Koprivno),1543,"46,4743°N 14,6977°"
Dom na Zelenici,1536,"46,42899°N 14,23357°"
Sveta Ana (Macna) / St. Anna (Matzen),1536,"46,5135°N 14,3614°"
Zavetišče na planini Šija,1528,"46,42456°N 14,33543°"
Koča Berta / Bertahütte,1527,"46,5182°N 13,9604°"
Šoparjev vrh,1524,"46,48606°N 14,74105°"
Mejnik,1517,"46,4537°N 14,3961°"
Požgani rob,1513,"46,4579°N 14,2222°"
Peč (Tromeja),1508,"46,52283°N 13,71413°"
Planica,1508,"46,48348°N 13,94063°"
Bukovec,1506,"46,39371°N 14,44994°"
Polna peč,1503,"46,4389°N 14,25617°"
"Lipševa vrata (Vrata, Felsentore)",1500,
Žerjavov Praprotnik / Loibler Prapotnik,1500,"46,4635°N 14,2788°"
Kopa / Monte Coppa,1496,"46,51474°N 13,70705°"
Dom na Kofcah,1488,"46,41772°N 14,3232°"
Jureževa planina,1488,"46,503°N 13,8256°"
Borovje,1476,"46,48051°N 13,95125°"
Rabenberg,1465,"46,4999°N 14,2144°"
Veliki Rob / Großer Rain,1464,"46,4717°N 14,2031°"
Planina Ilovica,1462,"46,424°N 14,3316°"
Bela peč (nad Dovjem),1460,"46,4757°N 13,9808°"
Planina Spodnja Konjščica,1451,"46,38305°N 14,3661°"
Spominska plošča Jožeta Rozmana,1450,"46,3768°N 14,3811°"
Borovski vrh (Žehtar) / Sechter,1449,"46,4996°N 14,3156°"
Koča Pr Zdravc,1448,"46,37768°N 14,3907°"
Planina Pungrat,1447,"46,4304°N 14,3596°"
Črna peč,1447,"46,4244°N 14,4133°"
Kališje,1435,"46,5067°N 13,7368°"
Tegoška planina,1430,"46,4293°N 14,3767°"
Koča pri izviru Završnice,1425,"46,42999°N 14,21832°"
Lovska koča na Brvogih,1425,"46,4891°N 13,9673°"
Dreiländereck Hütte,1423,"46,52429°N 13,72615°"
Plešivška kopa (Kozarnica),1414,"46,48337°N 14,99691°"
Potočnikova planina,1410,"46,4158°N 14,2525°"
Planina Rožca / Roschitzaalm,1407,"46,4872°N 14,0161°"
Planina Spodnja Dolga njiva,1400,"46,43838°N 14,41601°"
Planina Stamare,1400,"46,44682°N 14,11792°"
Robič,1384,"46,4083°N 14,3299°"
Jeseniška planina,1380,"46,47865°N 14,03035°"
Hruška planina,1378,"46,47578°N 14,01203°"
Koča na Ljubelju,1370,"46,43891°N 14,26649°"
Planina Brsnina,1357,"46,4233°N 14,4301°"
Planina Možine,1352,"46,48416°N 14,04881°"
Veronjak / Hausberg,1348,"46,4796°N 14,21194°"
Hofovška planina / Hoffmansalpe,1335,
Španov vrh,1334,"46,45971°N 14,06957°"
Sveti Lenart / St. Leonhard,1334,"46,446°N 14,64°"
Planina Rep (Repija),1330,"46,4713°N 14,7127°"
Primožkovi hribi,1326,"46,40904°N 14,35241°"
Lovska koča nad Doslovško planino,1325,"46,417°N 14,1766°"
Robniške peči,1323,"46,4122°N 14,46°"
Bivak brez meja / Bivacco Senza Confini,1319,"46,519°N 13,7061°"
Na pečeh pri Črnem Vrhu,1318,"46,4644°N 14,0632°"
Koča na planini Preval-a,1311,"46,41014°N 14,2434°"
Govševa planina,1300,"46,4623°N 14,6982°"
Penatca,1299,"46,4148°N 14,3847°"
Pusti Rovt,1296,"46,47718°N 14,08992°"
Koča Vrtača,1288,"46,42974°N 14,24458°"
Roblekova planina,1284,"46,4197°N 14,4975°"
Lovska koča Stanič,1280,"46,4146°N 14,4528°"
Koča pod Košuto / Koschutahaus,1280,"46,4517°N 14,3876°"
Golarjeva peč,1276,"46,4297°N 14,6517°"
Močnikova planina,1275,"46,39861°N 14,4468°"
Marija Snežna (Kavalar) / Madonna della Neve,1275,"46,5141°N 13,6951°"
Obirska planina,1272,"46,492°N 14,50862°"
Basališče (Paški Kozjak),1272,"46,39023°N 15,24015°"
Planina Kladje / Quadiaalm,1271,"46,5036°N 14,0479°"
Potoška planina,1270,"46,43262°N 14,13469°"
Vetrh vrh,1268,"46,3986°N 14,3833°"
Markljev Rovt,1250,"46,47849°N 14,08355°"
Planina Luža,1250,"46,5024°N 14,71554°"
Velika Boncla,1241,"46,4483°N 14,1093°"
Sveti Duh pod Olševo,1232,"46,43483°N 14,65971°"
Izvir reke Meže,1230,"46,4598°N 14,7022°"
Božičev vrh / Boschitzberg,1228,
Štrukljev vrh,1227,"46,3871°N 15,2268°"
Zabreška planina,1225,"46,4187°N 14,1627°"
Tolsti vrh (pri Poljški planini),1225,"46,40627°N 14,2056°"
Planinski dom na kmetiji Kumer,1220,"46,4871°N 14,726°"
Sveta Ana v Koprivni,1218,"46,4825°N 14,7233°"
Doslovška planina,1210,"46,4138°N 14,1793°"
Medvodnica,1202,"46,4144°N 14,4023°"
Žirovniška planina,1200,"46,42419°N 14,15434°"
Rovt Vrse,1200,"46,47912°N 13,94385°"
Jesenik,1199,"46,5051°N 14,8316°"
Hom (nad Prevaljami),1193,"46,5076°N 14,9401°"
Brdo (Plezališče pod Golico),1192,
Ostrica,1182,"46,3889°N 15,2079°"
Valvasorjev dom pod Stolom,1181,"46,42604°N 14,14653°"
Tomčeva koča na Poljški planini,1180,"46,4095°N 14,20863°"
Veliki vrh (nad Mežiško dolino),1165,"46,4947°N 14,8524°"
Virnikova planina,1160,"46,4144°N 14,4681°"
Smučarski dom Črni vrh,1156,"46,46023°N 14,06042°"
Šumahov vrh,1155,"46,4935°N 14,8613°"
Pikov vrh,1149,"46,4961°N 14,8419°"
Dom na Tromeji,1145,"46,51574°N 13,71901°"
Alničje,1145,"46,43889°N 14,11044°"
Hribarska (Huda) zijalka,1140,"46,4278°N 14,682°"
Planina Planinca,1136,"46,40906°N 14,21525°"
Mala Boncla (Bavha),1131,"46,45241°N 14,10375°"
Planina Goreljše,1125,"46,4738°N 13,9735°"
Žmitkov špic,1124,"46,4°N 14,49055°"
Železna (Kisla) voda,1115,"46,43079°N 14,64336°"
Zavetišče na Kalu,1112,"46,39797°N 14,3146°"
Špik (Paški Kozjak),1108,"46,38724°N 15,18658°"
Erjavčev rovt (Planina Mlinca),1105,"46,4808°N 13,9651°"
Jelenkamen,1096,"46,43925°N 14,07706°"
Stenica,1091,"46,3665°N 15,312°"
Blažčeva skala,1091,"46,46944°N 13,97333°"
Planina Dolžanka,1090,"46,4125°N 14,3376°"
Arihova peč / Arichwand,1090,"46,5337°N 13,9832°"
Andrejev dom na Slemenu,1086,"46,43816°N 14,96475°"
Koča nad Arihovo pečjo /  Rossalmhütte,1080,"46,5306°N 13,9805°"
Pogorevc,1076,"46,491°N 14,9008°"
Smolnik,1075,"46,41982°N 14,14404°"
Sveti Vid pod Jernejevim vrhom,1075,"46,4439°N 14,9629°"
Koča na Naravskih ledinah,1072,"46,48644°N 14,93759°"
Sveti Jošt na Paškem Kozjaku,1063,"46,387°N 15,1928°"
Sveti Jakob v Koprivni,1062,"46,4544°N 14,747°"
Ajdna,1046,"46,42098°N 14,13073°"
Partizanska bolnica Krtina,1040,"46,40991°N 14,4553°"
Bivak Suška bajta,1034,"46,5001°N 14,9184°"
Sveta Ana (Ljubelj),1032,"46,4324°N 14,2634°"
Planina Zali potok,1032,"46,4172°N 14,3655°"
Mirca,1025,"46,445°N 14,0545°"
Veliki Mošenik / Große Muschenig,1021,"46,50681°N 14,0973°"
Stolpnik,1012,"46,33448°N 15,36826°"
Plakopec (Brezejec),1005,"46,3741°N 15,1877°"
Izvir Javornika,1000,"46,45898°N 14,1085°"
Špicasti  vrh (Kislica),994,"46,35735°N 15,30353°"
Koča na Pikovem,992,"46,4886°N 14,8366°"
Visoko,991,"46,3761°N 15,1898°"
Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),982,"46,4739°N 14,155°"
Boč,978,"46,28945°N 15,59957°"
Dom Pristava v Javorniškem Rovtu,975,"46,45425°N 14,09136°"
Ramšakov vrh,970,"46,35916°N 15,19006°"
Veliki vrh nad Završnikom,968,"46,38183°N 14,3068°"
Stara cerkev sv. Ožbolta (Jezersko),961,"46,39491°N 14,49009°"
Dom na Paškem Kozjaku,960,"46,38429°N 15,18832°"
Srnjak,955,"46,4941°N 13,7853°"
Radojč,937,"46,35958°N 15,17242°"
Podgorska planina / Maria Elender Alm,930,"46,50489°N 14,09253°"
Smodivnik,923,"46,4018°N 15,1588°"
Hvadnik,920,"46,48859°N 13,8456°"
Slapovi v Preski,910,"46,4631°N 14,0293°"
Andrejev vrh,897,"46,5205°N 14,8794°"
Jerman,890,"46,48809°N 13,84212°"
Volinjak,886,"46,5315°N 14,8756°"
Donačka gora,884,"46,26268°N 15,7423°"
Donačka gora (vzhodni vrh),883,"46,26341°N 15,74759°"
Fričev vrh,881,"46,44065°N 15,14592°"
Rokov vrh / Rochusberg,880,"46,528°N 14,5715°"
Kamnek,873,"46,3726°N 14,31347°"
Stegovniški slap,872,"46,4047°N 14,3972°"
Veliki Juhej,865,"46,3999°N 14,3428°"
Gank,850,"46,4334°N 14,1018°"
Malnež,846,"46,42881°N 14,1104°"
Gora sv. Eme (Junska gora) / Hemmaberg,842,"46,5533°N 14,6672°"
Turška jama v Gozdašnici,835,"46,41031°N 14,1495°"
Lovska koča Štepih,825,"46,3385°N 15,364°"
Plešivec,822,"46,27399°N 15,64927°"
Časov vrh,821,"46,4418°N 15,1521°"
Mali Juhej,820,"46,39929°N 14,34404°"
Sveti Rupert (Završe),815,"46,42751°N 15,1481°"
Sveti Vid (Završe),808,"46,422°N 15,159°"
Kapelica Srca Jezusovega (Jelendol),807,"46,3999°N 14,3445°"
Vinska gora,806,"46,34894°N 15,19538°"
Poštarski dom pod Plešivcem,805,"46,49617°N 15,01269°"
Slapovi Dobršnik,800,"46,45878°N 14,01023°"
Grobnica barona Borna,800,"46,3995°N 14,3476°"
Črepič,798,"46,44105°N 15,1661°"
Temnjak,798,"46,35063°N 15,18615°"
Štalekarjev vrh,792,"46,5116°N 14,8456°"
Kršiše,790,"46,40289°N 14,281°"
Kalvarija nad Jesenicami,784,"46,43786°N 14,06816°"
Skalni vrh (Vodemla),780,"46,3871°N 15,1359°"
Lubela,778,"46,3968°N 15,1232°"
Kozjek,766,
Slap pod Gozdašnico,760,"46,4103°N 14,1523°"
Slap pod Kurico,760,"46,4062°N 14,1624°"
Skala,750,"46,32526°N 15,41553°"
Soteska Čepa/Tscheppaschlucht,750,"46,48792°N 14,26455°"
Kapelica sv. Barbare na Pejcah,750,"46,4452°N 14,044°"
Kušpergarjev turn (Kušpergarjevi turni),750,"46,3839°N 14,3318°"
Kozjek (nad Socko),748,"46,35722°N 15,2815°"
Gradišče nad Sotesko (Soteska),724,"46,4194°N 14,112°"
RIS Dolina (Dovžanova soteska),720,"46,3917°N 14,3308°"
Strana,711,"46,4296°N 14,097°"
Čopov rovt,710,"46,4349°N 14,0878°"
Slapišče pod Kalvarijo,700,"46,4373°N 14,0689°"
Dom na Boču,698,"46,28347°N 15,59412°"
Grad Lindek,695,"46,3526°N 15,3253°"
Javorniški slapovi,690,"46,4439°N 14,0943°"
Dom v Dragi,689,"46,39476°N 14,21804°"
Leški cerkvi,674,"46,5347°N 14,8887°"
Sveta Marjeta na Boču,655,"46,2766°N 15,6199°"
Dedni vrh (Šuštarica),653,"46,28589°N 15,65327°"
Izvir Sotle,640,"46,25832°N 15,79161°"
Podkanjski slap / Wildensteiner Wasserfall,640,"46,5344°N 14,5089°"
Partizanska bolnica na Formili/Boču,630,"46,2829°N 15,6267°"
Jezero Završnica,630,"46,4069°N 14,1473°"
Formila na Boču,624,"46,2852°N 15,6238°"
Joški vrh,595,"46,26699°N 15,73973°"
Rudijev dom na Donački gori,590,"46,26447°N 15,73468°"
Sveti Rok (Sele),582,"46,50029°N 15,02748°"
Gonžarjeva peč,575,"46,3512°N 15,1672°"
Babček,575,"46,2981°N 15,4158°"
Lindeški slap,555,"46,3502°N 15,3222°"
Mornova zijalka,550,"46,41277°N 14,97437°"
Planinska koča Velikonočnica,550,"46,2793°N 15,5842°"
Krajnikov grad,549,"46,3792°N 15,2932°"
Grilova kapela na Boču,534,"46,2642°N 15,6414°"
Ljubična gora,533,"46,2899°N 15,5412°"
Sveti Pankracij (Grajski grič),530,"46,508°N 15,0669°"
Grad Konjice,515,"46,33585°N 15,40977°"
Sveti Donat,511,"46,25794°N 15,73851°"
Sveti Mihael na Pečici,500,"46,275°N 15,5294°"
Sv. Uršula nad Dramljami,464,"46,2805°N 15,4142°"
Sv. Tomaž nad Vojnikom,444,"46,2917°N 15,3269°"
Sveta Barbara v Zagradu,435,"46,5442°N 14,9307°"
Sveti Miklavž (Sele),435,"46,5084°N 15,0359°"
Zbelovski grad,400,"46,2961°N 15,5265°"
Cerkev Marije Tolažnice (Brezje nad Žetalami),382,"46,27183°N 15,7852°"
Razborški ribniki,330,"46,2685°N 15,4187°"
Sv. Marija Magdalena (Dramlje),327,"46,273°N 15,3882°"
Studeniški grad,315,"46,3°N 15,6151°"
Sv. Ilija (Spodnje Dramlje),304,"46,2772°N 15,3956°"
Partizanska bolnica Zima,290,"46,258°N 15,3648°"
