Ime,Visina,Lokacija
Zaganjalka,661,"46,1069°N 13,9861°"
Izvir Volaščice,650,"46,1466°N 14,1004°"
Šmarjetna gora,646,"46,24369°N 14,33616°"
Sveti Štefan (Kupljenik),642,"46,3374°N 14,0801°"
Šebrelje,639,"46,0927°N 13,9177°"
Bolnica Franja,601,"46,1535°N 14,0284°"
Lipniški grad (Pusti grad nad Lipnico),590,"46,3274°N 14,17°"
Sveti Lovrenc na Lovrenški gori,580,"46,15345°N 14,2812°"
Sveti Jošt v Trebenčah,573,"46,1459°N 13,9842°"
Sveti Ivan nad Divjimi babami,573,"46,11022°N 13,91748°"
Cerkev Loretske Matere Božje v Suši,560,"46,2069°N 14,1197°"
Kapelica Na Koren,550,"46,3423°N 14,0918°"
Cerkev Marijinega rojstva v Policah,526,"46,1236°N 13,9047°"
Ojstra peč,516,"46,3184°N 14,2045°"
Sveti Lambert (Lancovo),515,"46,3356°N 14,1573°"
Cerkev Sv. Križa na Brezju nad Srednjo vasjo,511,"46,11907°N 14,16389°"
Slap Grmečica,510,"46,2844°N 14,0005°"
Zjavka,505,"46,3174°N 14,1956°"
Sveta Ana (Ledinica),503,"46,0573°N 14,0984°"
Grad Divja Loka (Stari grad),502,"46,1622°N 14,2842°"
Stovc (Stolec),474,"46,30283°N 14,24279°"
Krancelj,453,"46,16236°N 14,30003°"
Sveti Pavel (Straža),451,"46,1033°N 13,9545°"
Divje babe,450,"46,1124°N 13,9167°"
Kamnitnik (nad Škofjo Loko),426,"46,1729°N 14,3093°"
Slap Šum,425,"46,27154°N 14,26776°"
Srednji Kamnitnik,421,
Mali Kamnitnik ,416,
Medvedja luknja,390,
Slap v Sopotih (Pršjak),360,"46,0535°N 13,8368°"
