Ime,Visina,Lokacija
Jarški dom na Mali planini,1520,"46,2874°N 14,6607°"
Vivodnik,1508,"46,25741°N 14,81634°"
Planina Konjščica (Velika planina),1505,"46,31292°N 14,63795°"
Planina Ravne,1500,"46,35°N 14,6992°"
Planina Mali Travnik,1500,"46,40774°N 14,80554°"
Špic,1499,"46,26402°N 14,82096°"
Jenkova planina,1495,"46,3938°N 14,55216°"
Dom na Gospincu (Hotel Rozka),1491,"46,29583°N 14,52243°"
Kriška planina,1480,"46,2943°N 14,5359°"
Grebenc,1479,"46,34736°N 14,37668°"
Koča na Dobrči,1478,"46,3762°N 14,24629°"
Koča na Kriški gori,1471,"46,35164°N 14,33335°"
Javorca (Golte),1465,"46,37354°N 14,90979°"
Koča na Grohatu,1460,"46,42341°N 14,74327°"
Visoki vrh nad Jezerskim,1459,"46,38517°N 14,52459°"
Dom na Menini planini,1453,"46,26189°N 14,8194°"
Račka vrata,1450,
Planina Kališče,1450,"46,33556°N 14,41563°"
Lešanska planina,1450,"46,37843°N 14,25576°"
Kranjska reber,1435,"46,2843°N 14,71112°"
Javorov vrh,1434,"46,32456°N 14,46385°"
Turni (pri Kozjem vrhu),1432,"46,36603°N 14,4365°"
Pri Pastirjih,1430,"46,3497°N 14,59503°"
Goli vrh (Šavnice),1426,"46,24995°N 14,85598°"
Lepenatka,1425,"46,30991°N 14,74055°"
Čisovec,1419,"46,40298°N 14,25054°"
Planina Jezerca,1410,"46,28454°N 14,53298°"
Hotel Golte,1410,"46,36868°N 14,89525°"
Velika Poljana,1410,"46,34632°N 14,37922°"
Javornik nad Jezerskim,1399,"46,3888°N 14,5202°"
Dom na Okrešlju,1396,"46,36951°N 14,58767°"
Krničarjeva koča na planini Javornik,1390,"46,3442°N 14,38924°"
Praprotnikova koča,1380,"46,35009°N 14,41908°"
Dom na Smrekovcu,1375,"46,41327°N 14,90004°"
Mozirska koča na Golteh,1356,"46,37134°N 14,90419°"
Knezova planina (Planina Bela peč),1350,"46,42818°N 14,7811°"
Slap Čedca,1350,"46,3705°N 14,52039°"
Kunšperski vrh (Brezovec),1336,"46,3092°N 14,7262°"
Povšnarjeva planina,1330,"46,3566°N 14,4919°"
Zavetišče v Hudičevem borštu,1328,"46,32839°N 14,4411°"
Izletniška kmetija Bukovc (Bukovnik),1327,"46,43178°N 14,73474°"
Bezovec,1326,"46,40655°N 14,8405°"
Mala Poljana,1325,"46,34862°N 14,3729°"
Planina Vodol,1324,"46,4257°N 14,7756°"
Ovča koča,1323,"46,3667°N 14,4915°"
Plesnikova planina,1319,"46,3914°N 14,6436°"
Kašna planina,1317,"46,29°N 14,7177°"
Planina Dol,1308,"46,31732°N 14,63289°"
Lovska koča Črnevka,1300,
Zavetišče na Biba planini,1300,"46,24369°N 14,84021°"
Murijeva planina,1289,"46,3804°N 14,48989°"
Bivak na Kalu,1285,"46,31516°N 14,73958°"
Potoška gora,1283,"46,31541°N 14,45343°"
Skubrov vrh,1276,"46,39586°N 14,51951°"
Dom na Kisovcu,1275,"46,27358°N 14,65779°"
Kamniški vrh,1259,"46,2879°N 14,57977°"
Planjava pri Kamniškem vrhu,1243,"46,28815°N 14,57222°"
Turni,1240,"46,39743°N 14,51659°"
Mali Rogatec (Mali Rogac),1228,"46,31359°N 14,72091°"
Partizanska bolnica Mrzle vode,1226,"46,41582°N 14,83113°"
Planina Marjanine njive,1220,"46,2939°N 14,677°"
Koča na Klemenči jami,1208,"46,37847°N 14,63367°"
Ojstri vrh (nad Prevalo),1197,"46,2553°N 14,7449°"
Kopa (Belska Kopa),1180,"46,32205°N 14,61143°"
Planina Travnik,1180,"46,2546°N 14,772°"
Počka (Robnikova) planina,1165,"46,40323°N 14,81937°"
Prevala,1163,"46,2523°N 14,7509°"
Škrbina (Slaparjeva gora),1142,"46,3125°N 14,491°"
Pleče,1131,"46,393°N 14,1952°"
Dom pod Storžičem,1123,"46,35928°N 14,38986°"
Smokuški vrh,1122,"46,39392°N 14,18661°"
Baba,1119,"46,31047°N 14,46327°"
Mihčeva kopišča,1100,"46,3116°N 14,4535°"
Breška planina,1100,"46,3804°N 14,2695°"
Planina Osredek,1100,"46,28958°N 14,56007°"
Mešenik,1099,"46,3259°N 14,5996°"
Ambrož pod Krvavcem,1085,"46,275°N 14,5293°"
Tolsti vrh (Dobrovlje),1077,"46,27319°N 14,92915°"
Planina Ravni,1075,"46,2548°N 14,7532°"
Bistriška planina,1057,"46,38024°N 14,2748°"
Sveti Križ nad Belimi Vodami,1054,"46,4034°N 14,9496°"
Vaško,1046,"46,3658°N 14,273°"
Kopa (Partizanski vrh),1024,"46,29186°N 14,49333°"
Prgozdnik,1013,"46,2695°N 14,5326°"
Smolnik,1002,"46,25264°N 14,89098°"
Orlovo gnezdo (Slap Rinka),1000,"46,37084°N 14,59344°"
Vrhe,965,"46,2793°N 14,96372°"
Planinska koča Iskra na Jakobu,961,"46,31517°N 14,44093°"
Sveti Jošt nad Vranskim,955,"46,26107°N 14,90847°"
Sveta Mati Božja na Čreti,944,"46,2789°N 14,9609°"
Sveti Ahac (Kališe),941,"46,2646°N 14,6817°"
Vovar,940,"46,25341°N 14,64641°"
Planinska koča pri Franciju,930,"46,31512°N 14,43872°"
Sveti Lenart nad Gornjim Gradom,929,"46,31282°N 14,75306°"
Planica (vzletišče Gozd),926,"46,3396°N 14,3314°"
Matkov kot,920,"46,401°N 14,6066°"
Skutman,911,"46,2962°N 14,4857°"
Grmada (Dobrovlje),898,"46,28071°N 14,99014°"
Sveti Lovrenc (Bašelj),892,"46,32672°N 14,39263°"
Zavetišče v Gozdu,891,"46,34079°N 14,32825°"
Robanova planina,890,"46,37655°N 14,66624°"
Lomek (Lom),884,
Sveti Primož nad Ljubnim,883,"46,36301°N 14,82129°"
Gradišče (Pustinjak),871,"46,3306°N 14,3995°"
Dom na Čreti,870,"46,27682°N 14,95921°"
Slap Orglice,870,"46,33318°N 14,61868°"
Sankaška koča,867,"46,38512°N 14,18935°"
Mali vrh nad Završnico,863,"46,4033°N 14,1521°"
Sveti Janez in Pavel (Dobrovlje),862,"46,2833°N 14,9873°"
Dom na Lovrencu (Bašelj),860,"46,3252°N 14,39183°"
Bezovec (Dobrovlje),857,"46,2976°N 15,005°"
Sveti Vid (nad Zgornjim Tuhinjem),846,"46,23085°N 14,77641°"
Cerkev sv. Petra nad Črno pri Kamniku,845,"46,2694°N 14,63363°"
Zapečnikova planina,840,"46,29601°N 14,48403°"
Sveti Peter nad Begunjami,839,"46,38291°N 14,19363°"
Dom Čemšenik,835,"46,31488°N 14,46799°"
Sveti Primož nad Kamnikom,826,"46,2691°N 14,6338°"
Korošaški slapovi,800,"46,2851°N 14,56286°"
Razgledišče Skroti,787,"46,258°N 14,6485°"
Sveti Miklavž na Gori,757,"46,2332°N 14,7311°"
Tominčev slap,750,"46,39348°N 14,25416°"
Štefanja gora,748,"46,2832°N 14,46567°"
Dom na Dobrovljah,745,"46,3009°N 14,9965°"
Sveti Florjan nad Gornjim Gradom,743,"46,2913°N 14,8184°"
Apnišče,740,"46,28817°N 14,46133°"
Gora Oljka,733,"46,32561°N 15,05918°"
Slap Palenk,730,"46,39805°N 14,63277°"
Stiška vas,725,"46,2768°N 14,5066°"
Sveti Lovrenc nad Zabreznico,725,"46,4021°N 14,1516°"
Jamna peč,720,"46,2963°N 14,4545°"
Vrholanov vrh (Ravne pri Šoštanju),710,
Dom planincev Farbanca,702,"46,28437°N 14,93922°"
Sveti Nikolaj (Možjanca),689,"46,2947°N 14,4506°"
Spominski park v Kamniški Bistrici,680,"46,32941°N 14,57756°"
Sveta Neža (Brezje pri Tržiču),677,"46,35856°N 14,27741°"
Sveti Jurij nad Tržičem,673,"46,35947°N 14,28842°"
Šenturška Gora,671,"46,2577°N 14,5439°"
Grad Gutenberk (Hudi grad),663,"46,362°N 14,2886°"
Sv. Miklavž nad Mačami,651,"46,3166°N 14,4134°"
Novi grad (Pusti grad),630,"46,31015°N 14,43294°"
Grad Kamen,620,"46,38178°N 14,21745°"
Brezovec,617,"46,3342°N 15,0575°"
Dom v Kamniški Bistrici,600,"46,3276°N 14,5893°"
Koželj,590,"46,34785°N 15,12635°"
Veliko Gradišče,587,"46,35684°N 15,08825°"
Senčnica Josipine Turnograjske,570,"46,30697°N 14,43367°"
Planinski dom Šentjungert,565,"46,29863°N 15,21759°"
Sevčnik,562,"46,3158°N 15,1102°"
Malo Gradišče,536,"46,35625°N 15,09857°"
Sveti Jakob (Jakec),528,"46,35785°N 15,09313°"
Kriva jelka,528,"46,30961°N 14,31246°"
Brunški vrh,511,"46,34542°N 15,07391°"
Mokrišče Blata,505,"46,3321°N 14,3067°"
Sebenje,500,"46,3304°N 14,2993°"
Lipnik (pri Velenju),486,"46,3252°N 15,1743°"
Bazilika Marije Pomagaj na Brezjah,486,"46,329°N 14,2323°"
Sveta Ana (Tunjice),475,"46,2314°N 14,5777°"
V Boštkú,466,"46,2897°N 14,2699°"
Vinski vrh (Vimperk),448,"46,292°N 15,0653°"
Grad Velenje,442,"46,3566°N 15,1099°"
Slap Peračica,430,"46,3402°N 14,2255°"
Šobčev bajer,426,"46,3538°N 14,1509°"
Turistična kmetija Trnovc,412,"46,3035°N 14,2864°"
Grad Žovnek,409,"46,2763°N 15,0041°"
Šoštanj,358,"46,3774°N 15,0485°"
Planinski dom Milana Šinkovca,345,"46,2134°N 14,5399°"
